File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF244PSF	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1						ENCFF656QEN	64695174	Brenton Graveley, UConn	94238f6f415c96320517e87f72fbc620		https://www.encodeproject.org/files/ENCFF244PSF/@@download/ENCFF244PSF.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/090d226a-1717-4269-aeef-0638068350db/ENCFF244PSF.bigWig				
ENCFF337HWS	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1						ENCFF738SSD	58791815	Brenton Graveley, UConn	917b7fe36ca8a842c1c0047b332e8cb9		https://www.encodeproject.org/files/ENCFF337HWS/@@download/ENCFF337HWS.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/53658170-156d-4390-b10e-926b7c3dadf7/ENCFF337HWS.bigWig				
ENCFF695HBS	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1						ENCFF656QEN	61139459	Brenton Graveley, UConn	7dff8803cdd8f2e0a6bf956c072cab57		https://www.encodeproject.org/files/ENCFF695HBS/@@download/ENCFF695HBS.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/d00640e2-5679-4583-8f0f-ab65d5ae39f9/ENCFF695HBS.bigWig				
ENCFF079OXC	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1						ENCFF738SSD	55076881	Brenton Graveley, UConn	0e3268be027a774aca5c5166e657a029		https://www.encodeproject.org/files/ENCFF079OXC/@@download/ENCFF079OXC.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/bff6d7c3-bfe7-445b-910e-6c4ea5ae2a55/ENCFF079OXC.bigWig				
ENCFF703FOH	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP, ENCFF839KAI	3153887539	ENCODE Processing Pipeline	a88c09c9be489ecd9606cde4d08106bd		https://www.encodeproject.org/files/ENCFF703FOH/@@download/ENCFF703FOH.bam	hg19	V19			released	s3://encode-public/2015/08/26/57733974-d799-4c0a-a5f5-5d9bb61af174/ENCFF703FOH.bam				
ENCFF859MSZ	bam	transcriptome alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP, ENCFF839KAI	3579416869	ENCODE Processing Pipeline	f2fb6c982129275a1204610fec2ea666		https://www.encodeproject.org/files/ENCFF859MSZ/@@download/ENCFF859MSZ.bam	hg19	V19			released	s3://encode-public/2015/08/26/e33ac1c6-a7ae-42b7-b57d-3c0b2643e36b/ENCFF859MSZ.bam				
ENCFF414ANM	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP, ENCFF839KAI	2854882743	ENCODE Processing Pipeline	cc37d5df427601c7b070e3fbb032bbff		https://www.encodeproject.org/files/ENCFF414ANM/@@download/ENCFF414ANM.bam	hg19	V19			released	s3://encode-public/2015/08/26/59ef3490-053c-47ce-ac77-5ee719da018a/ENCFF414ANM.bam				
ENCFF329DGJ	bam	transcriptome alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP, ENCFF839KAI	3304964249	ENCODE Processing Pipeline	9f328e1ed84a1651e1436fa80b676649		https://www.encodeproject.org/files/ENCFF329DGJ/@@download/ENCFF329DGJ.bam	hg19	V19			released	s3://encode-public/2015/08/26/21ab8e6c-e7d0-4054-8180-7ae393461fbf/ENCFF329DGJ.bam				
ENCFF984IBH	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF703FOH	66983110	ENCODE Processing Pipeline	10317d0cd39ee27a1836b23e3b96e8e6		https://www.encodeproject.org/files/ENCFF984IBH/@@download/ENCFF984IBH.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/cdaad9d8-d48e-4ba7-af34-f1cd70bd2efa/ENCFF984IBH.bigWig				
ENCFF195TCY	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF703FOH	68785591	ENCODE Processing Pipeline	178ecce30996aed8015dfb42d6c4807e		https://www.encodeproject.org/files/ENCFF195TCY/@@download/ENCFF195TCY.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/c3e52aea-f9c2-450d-9c06-0521d0919c9c/ENCFF195TCY.bigWig				
ENCFF357TEC	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF703FOH	75050768	ENCODE Processing Pipeline	db06acecf6cd1c3ebd4d4c4726ec5aeb		https://www.encodeproject.org/files/ENCFF357TEC/@@download/ENCFF357TEC.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/eed813d8-b5c7-488a-ae29-48d433fe8339/ENCFF357TEC.bigWig				
ENCFF600NIN	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF703FOH	76087589	ENCODE Processing Pipeline	a6adb87bf59fa12d60284c673972f103		https://www.encodeproject.org/files/ENCFF600NIN/@@download/ENCFF600NIN.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/a5628b63-bc0c-4a60-8d26-d5f4354af61b/ENCFF600NIN.bigWig				
ENCFF403CHJ	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF414ANM	61470018	ENCODE Processing Pipeline	7e47fb70a6f18847be972d598f8180ab		https://www.encodeproject.org/files/ENCFF403CHJ/@@download/ENCFF403CHJ.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/3dceb62a-4d17-4850-bfe3-c1bd1009f178/ENCFF403CHJ.bigWig				
ENCFF888ITN	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF414ANM	59844230	ENCODE Processing Pipeline	6e42d2dbab0d352784b3d6fa5c8ed266		https://www.encodeproject.org/files/ENCFF888ITN/@@download/ENCFF888ITN.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/76b04ae6-94fa-43f3-9829-cf8895435282/ENCFF888ITN.bigWig				
ENCFF507BEO	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF414ANM	68089647	ENCODE Processing Pipeline	c1a8b47486c453c5f011726dd39d995e		https://www.encodeproject.org/files/ENCFF507BEO/@@download/ENCFF507BEO.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/dc45f189-5569-4428-9db4-60cddf32b176/ENCFF507BEO.bigWig				
ENCFF613CZH	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF414ANM	68427178	ENCODE Processing Pipeline	32128e6d081b760afdc8e9b57d712269		https://www.encodeproject.org/files/ENCFF613CZH/@@download/ENCFF613CZH.bigWig	hg19	V19			released	s3://encode-public/2015/08/26/197df87d-1e26-4065-9c5e-135f8382f062/ENCFF613CZH.bigWig				
ENCFF573KPK	tsv	gene quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF826ONU, ENCFF859MSZ	9507005	ENCODE Processing Pipeline	886b0f78e6edf0fa81608242327067b8		https://www.encodeproject.org/files/ENCFF573KPK/@@download/ENCFF573KPK.tsv	hg19	V19			released	s3://encode-public/2015/08/26/dadf1348-307d-4e76-aa02-b6c669f18989/ENCFF573KPK.tsv				
ENCFF849YNA	tsv	transcript quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF826ONU, ENCFF859MSZ	26040025	ENCODE Processing Pipeline	8cd92c36a19c66743e07fea686b268c1		https://www.encodeproject.org/files/ENCFF849YNA/@@download/ENCFF849YNA.tsv	hg19	V19			released	s3://encode-public/2015/08/26/6c298358-a4c1-43fb-aa3d-a4b4481e06a7/ENCFF849YNA.tsv				
ENCFF870IID	tsv	gene quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF329DGJ, ENCFF826ONU	9508356	ENCODE Processing Pipeline	6fa4d80b7e01667be9bfffbec20feca0		https://www.encodeproject.org/files/ENCFF870IID/@@download/ENCFF870IID.tsv	hg19	V19			released	s3://encode-public/2015/08/26/ea5145fa-2a26-4288-ad3f-baa0d8f9c506/ENCFF870IID.tsv				
ENCFF539HXW	tsv	transcript quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF329DGJ, ENCFF826ONU	26050115	ENCODE Processing Pipeline	1a03075b801bb58a9790e6b45edc276c		https://www.encodeproject.org/files/ENCFF539HXW/@@download/ENCFF539HXW.tsv	hg19	V19			released	s3://encode-public/2015/08/26/3ad0ed90-be84-4fee-91f9-cbb74fdb200e/ENCFF539HXW.tsv				
ENCFF145HFN	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP, ENCFF700TXC	2677373812	ENCODE Processing Pipeline	0422702ff40475f0f9e77f312ff23e0c		https://www.encodeproject.org/files/ENCFF145HFN/@@download/ENCFF145HFN.bam	hg19	V19			released	s3://encode-public/2015/08/31/27cf5263-8347-4741-88eb-0b560e93a1cc/ENCFF145HFN.bam				
ENCFF154SZS	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP, ENCFF700TXC	2417913059	ENCODE Processing Pipeline	8d214a62a6f86654cfc88528ec29be90		https://www.encodeproject.org/files/ENCFF154SZS/@@download/ENCFF154SZS.bam	hg19	V19			released	s3://encode-public/2015/08/31/232fcb22-a133-41c3-9f55-483055352360/ENCFF154SZS.bam				
ENCFF754FMW	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF145HFN	64553615	ENCODE Processing Pipeline	04f351798ac834ecc42f31478e33cb10		https://www.encodeproject.org/files/ENCFF754FMW/@@download/ENCFF754FMW.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/8795ffa7-ab16-472f-843c-fa158d06bc04/ENCFF754FMW.bigWig				
ENCFF743IUA	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF145HFN	62870579	ENCODE Processing Pipeline	da31e4e87ae779d48c2f42e772d8461c		https://www.encodeproject.org/files/ENCFF743IUA/@@download/ENCFF743IUA.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/3923427e-208d-42d1-b311-9417d6cb453d/ENCFF743IUA.bigWig				
ENCFF042LYN	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF145HFN	69958244	ENCODE Processing Pipeline	e0905a00b2b7d66f3a2c85516a7b9ef8		https://www.encodeproject.org/files/ENCFF042LYN/@@download/ENCFF042LYN.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/5d832b51-4d81-4755-a90a-8723835dc8a1/ENCFF042LYN.bigWig				
ENCFF101WQK	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF145HFN	68734732	ENCODE Processing Pipeline	9b90f0e2f1c78fe0b44c5da83d7c69fc		https://www.encodeproject.org/files/ENCFF101WQK/@@download/ENCFF101WQK.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/df907c44-8eac-4f4f-82ff-48e4d3f64817/ENCFF101WQK.bigWig				
ENCFF248PRQ	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF154SZS	58073597	ENCODE Processing Pipeline	355787c271526d791df6242ded38865b		https://www.encodeproject.org/files/ENCFF248PRQ/@@download/ENCFF248PRQ.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/1f5fa584-4bae-4d48-8942-a0fb57e1905f/ENCFF248PRQ.bigWig				
ENCFF737BBV	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF154SZS	56600126	ENCODE Processing Pipeline	9c7218fdf626e9916aaf5ea10672e973		https://www.encodeproject.org/files/ENCFF737BBV/@@download/ENCFF737BBV.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/1534aee4-dfce-4453-a67f-fe71d9d74a17/ENCFF737BBV.bigWig				
